elapsed_seconds,alpha,theta,beta,stillness,valid
166,0.14497935291144892,0.11677837959886515,0.22585206251252357,0.9852701370114456,1
167,0.14201766945861147,0.11431316217547026,0.21930117643742741,0.9874316631431526,1
168,0.1396483226963415,0.11234098823675434,0.21406046757735048,0.9873751845999423,1
169,0.13775284528652554,0.11076324908578161,0.20986790048928894,0.9881946175123033,1
170,0.13623646335867276,0.10950105776500342,0.20651384681883972,0.9894704370346473,1
171,0.13502335781639055,0.10849130470838086,0.20383060388248034,0.9906526678204398,1
172,0.13405287338256477,0.10768350226308283,0.20168400953339283,0.9909759913753013,1
173,0.13461071097220484,0.10974304395360546,0.2009636381146189,0.9911037225584072,1
174,0.14029768588785635,0.11999771832658716,0.20158443931243036,0.9913335787814843,1
175,0.14328117803302473,0.12801643016885733,0.2021843067248706,0.9922041382310843,1
176,0.1431949693130557,0.13333933126102124,0.2032807962853982,0.9926923660055768,1
177,0.14312600233708048,0.13759765213475236,0.20415798793382026,0.99238007753615,1
178,0.14307082875630028,0.14100430883373727,0.2048597412525579,0.9924758251477754,1
179,0.14302668989167613,0.1437296341929252,0.20542114390754804,0.9927929743875519,1
180,0.14355910668553876,0.14598744299622288,0.20661117797727113,0.9928589780266243,1
181,0.14658119861210286,0.14714502943100938,0.2074201425424765,0.9929216356161723,1
182,0.1463703125640012,0.14899541202630215,0.207885126352507,0.9935481602582649,1
183,0.14504273880895027,0.1496898058752613,0.20896432768812698,0.9936440226602014,1
184,0.14942078900099187,0.14227147687795472,0.20906979602894965,0.9937482805343926,1
185,0.15023720450849032,0.1348424781430519,0.20871147999676365,0.9935434004822333,1
186,0.15006427297571384,0.12890411042516497,0.20829506493775765,0.9934963632328427,1
187,0.14992592774949265,0.12415341625085542,0.20796193289055284,0.9937933816568405,1
188,0.1505299380543271,0.12841296130420068,0.20710812332421036,0.9905989480483733,1
189,0.15071782449963642,0.14095148986752898,0.20547065893072813,0.9881445397743758,1
190,0.14843192263975924,0.15283170657352768,0.20383484446995165,0.9864542747908223,1
191,0.1466032011518575,0.16233587993832663,0.20252619290133045,0.9856504980772536,1
